number,T,P,T_avg,P_avg,"Dens, g/cm^3","dDens, g/cm^3","V, A^3","L, A","D_F, cm^2/s","D_Li, cm^2/s","D_Na, cm^2/s","D_K, cm^2/s"
56,800.0,0.0,797.1045346506985,25.068483504990038,2.065219202195609,0.06127639431528857,933.7721266666666,9.774179309540077,9.817134219228033e-06,1.1976681050003407e-05,3.1375195724897353e-06,1.2331108763773542e-05
56,800.0,0.0,794.5486126946108,-204.38231468243515,2.0712960656686628,0.06545386576721497,931.1493263473054,9.765019415860577,1.2388855132158137e-05,1.1870771759399458e-05,4.306079439492273e-06,1.2018128673645917e-05
56,800.0,0.0,798.1857931736528,-9.98172263073863,2.071746366666667,0.06394478447685786,930.9023526746507,9.76415599689552,1.1044337446630554e-05,9.124869985172804e-06,1.543464374904631e-05,8.145140729616214e-06
56,800.0,0.0,805.6577271656686,-102.07406890219562,2.0400625832335333,0.06734083231604494,945.4869123552894,9.814884061919155,1.0591596902842543e-05,6.69152918391267e-06,4.773646999146622e-06,1.2746299284384943e-05
56,800.0,0.0,800.9281220558881,-43.3394670586826,2.048371161277445,0.06816621426513209,941.6735501596806,9.801671067806698,1.2832769654098727e-05,1.0151015798888117e-05,3.039449629618489e-06,1.0399379787844753e-05
56,900.0,0.0,895.9391000798404,83.26163179840323,2.0122061129740514,0.06564038576262606,958.5525753093813,9.859887947622303,2.0413092099654257e-05,1.9357907393236613e-05,7.158747963020559e-06,1.325559904271167e-05
56,900.0,0.0,895.6244456487027,-110.36647660399204,1.99723365249501,0.07368646652897022,966.0419100998005,9.885500353800383,2.9010472354679125e-05,2.2875122305968078e-05,1.494336173918608e-05,2.9300752111439566e-05
56,900.0,0.0,892.6641025748504,-193.93916704790422,2.007782655888224,0.07764881935307465,961.1049838123752,9.86863174110822,2.372840370510496e-05,1.9722111414914507e-05,1.149767264425828e-05,1.6939563332955904e-05
56,900.0,0.0,901.6767052894212,44.42052514171664,2.0119586824351297,0.07470099318834812,958.9857262275449,9.861372886647164,1.935851059933961e-05,1.365043174232699e-05,1.3910528077940169e-05,1.806542720427104e-05
56,900.0,0.0,899.759675249501,15.047629010179735,2.0135946634730537,0.07459430182863513,958.1960563073852,9.858665384421466,2.1713656660880498e-05,1.3193555255378935e-05,1.1214511473109396e-05,2.167158249454551e-05
56,900.0,0.0,899.7230419760479,-169.69701841516968,2.000352027944112,0.07165983728006649,964.4679401796407,9.880128627501827,2.1310533396242306e-05,2.282474840130037e-05,2.0815698868962694e-05,2.340710230641051e-05
56,900.0,0.0,894.68254998004,7.510806554890227,1.9851870614770457,0.07614380571149693,972.004774491018,9.90579796581575,2.2824539921193855e-05,2.6716740668372114e-05,1.2379472788127236e-05,2.3065603584368243e-05
56,900.0,0.0,904.5576983832336,-43.685671672654784,2.003424078642715,0.07777902691641178,963.2125237924151,9.875839885980996,1.3772458278873898e-05,1.6231941366600422e-05,5.0329115783320084e-05,2.6453363096084025e-05
56,900.0,0.0,906.1980387824352,-234.0880730942116,1.9998059710578842,0.07189578656184857,964.7225545708583,9.880997984755007,1.4619285263036573e-05,1.5788302881628017e-05,3.657608156830544e-05,1.774263046844134e-05
56,900.0,0.0,896.8557883632735,-74.28919882834343,2.029012151297405,0.07516598260700535,950.9150344510979,9.833630931039917,2.2801622532885326e-05,2.2259376697453465e-05,5.6954380169800234e-06,2.267200907703996e-05
56,1000.0,0.0,1004.9134472055889,107.74548127345311,1.9479852580838324,0.0739686903101999,990.5376038323354,9.968358667644717,3.3531912794681814e-05,1.3993665876174364e-05,2.965676736453018e-05,2.3541723883022332e-05
